movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Percy Jackson & the Olympians: The Lightning Thief,PG,"Action , Adventure, Comedy, Drama, Science Fiction , Fantasy",12-02-10,06-29-10,83,Rotten,49,144,53,254287
Please Give,R,Comedy,04-30-10,10-19-10,90,Certified Fresh,86,140,64,11567
10,R,"Comedy, Romance",05-10-79,08-27-97,118,Fresh,68,22,53,14670
12 Angry Men (Twelve Angry Men),NR,"Classics, Drama",04-13-57,06-03-01,95,Certified Fresh,100,51,97,105000
"20,000 Leagues Under The Sea",G,"Action , Adventure, Drama, Kids , Family",01-01-54,05-20-03,127,Fresh,89,27,74,68860
"10,000 B.C.",PG-13,"Action , Adventure, Classics, Drama",07-03-08,06-24-08,109,Rotten,8,148,37,411087
The 39 Steps,NR,"Action , Adventure, Classics, Mystery , Suspense",01-08-35,06-06-35,87,Certified Fresh,96,47,86,23827
3:10 to Yuma,NR,"Classics, Drama, Western",07-08-57,02-04-02,92,Fresh,96,27,78,9224
Charly (A Heartbeat Away),PG,"Comedy, Drama, Romance",09-27-02,01-08-03,103,Rotten,20,10,87,4819
Abraham Lincoln,NR,"Classics, Drama",08-11-30,11-18-08,97,Fresh,90,10,38,455
Dark Water,PG-13,"Art House , International, Horror, Mystery , Suspense",01-19-02,06-21-05,100,Fresh,80,15,66,21459
The Accused,R,"Drama, Mystery , Suspense",10-14-88,04-16-02,110,Fresh,91,22,79,20796
The Lost City,R,Drama,03-09-05,08-08-06,143,Rotten,25,83,64,25940
The Breaking Point,NR,Drama,06-10-50,08-08-17,97,Fresh,100,7,84,328
Adam's Rib,NR,"Classics, Comedy, Romance",11-18-49,09-19-00,100,Fresh,100,27,86,10545
The Bridge of San Luis Rey,PG,"Art House , International, Drama, Faith , Spirituality",10-06-05,11-10-05,120,Rotten,4,24,35,1931
The Prowler (Cost of Living ),PG,"Drama, Mystery , Suspense",03-12-51,01-02-11,92,Fresh,100,17,86,284
Criminal,R,"Drama, Mystery , Suspense",09-24-04,12-04-05,88,Fresh,69,124,57,6702
The Adventures of Mark Twain,G,"Action , Adventure, Animation, Kids , Family",01-03-85,01-31-06,86,Fresh,80,5,82,1042
Deep Blue,G,"Documentary, Special Interest",06-17-05,11-04-06,90,Fresh,67,52,80,4690
The Adventures of Robin Hood,PG,"Action , Adventure, Classics, Romance",05-14-38,09-30-03,102,Certified Fresh,100,46,89,33890
Man Hunt,NR,"Classics, Drama, Mystery , Suspense",01-01-41,05-19-09,105,Fresh,92,12,75,552
Dead End,R,"Comedy, Horror, Mystery , Suspense",09-26-03,11-19-04,85,Fresh,75,8,60,10351
Bandwagon,R,Comedy,12-09-97,02-16-99,103,Fresh,80,5,91,386
Whore,R,"Art House , International, Drama",04-16-04,08-02-05,87,Rotten,0,6,63,914
Tristan & Isolde,PG-13,"Drama, Science Fiction , Fantasy, Romance",01-13-06,04-25-06,99,Rotten,31,121,71,220945
Wild Side,NR,"Art House , International, Drama",10-06-05,10-25-05,94,Fresh,63,16,80,867
Running Scared,R,"Action , Adventure, Drama, Mystery , Suspense",02-24-06,06-06-06,119,Rotten,41,130,79,135373
Going the Distance,R,Comedy,08-20-04,05-07-05,93,Rotten,0,5,61,13032
Ultraviolet,PG-13,"Action , Adventure, Drama, Horror, Science Fiction , Fantasy",03-03-06,06-27-06,88,Rotten,8,83,30,279966
Home of the Brave,R,"Action , Adventure, Documentary, Drama, Special Interest",11-05-04,10-23-07,74,Fresh,93,15,48,866
Arthur and the Invisibles (Arthur and the Minimoys),PG,"Animation, Kids , Family, Science Fiction , Fantasy",12-01-07,05-15-07,94,Rotten,22,91,56,134466
Malevolence,R,Horror,10-09-04,04-19-05,85,Rotten,33,18,83,2619
Eternal,R,"Horror, Mystery , Suspense",08-26-04,10-18-05,107,Rotten,21,34,40,1294
A Farewell To Arms,NR,"Classics, Drama, Romance",12-14-57,03-29-05,152,Rotten,0,11,36,1458
The Narrow Margin,NR,"Classics, Drama, Mystery , Suspense",04-05-52,05-07-05,71,Fresh,100,10,88,1129
The Matador,R,"Action , Adventure, Comedy, Drama, Mystery , Suspense",01-27-06,04-07-06,97,Certified Fresh,75,154,65,73691
Smile,PG-13,"Art House , International, Comedy, Drama",08-04-05,06-09-05,107,Rotten,15,13,66,2059
The Intruder (L'Intrus),G,"Art House , International, Drama",12-23-05,04-25-06,129,Fresh,86,29,73,9701
Saint Ralph,PG-13,"Comedy, Drama",05-08-05,12-13-05,98,Fresh,64,69,85,6202
The Baxter,PG-13,"Comedy, Romance",08-26-05,12-13-05,91,Rotten,32,75,75,7434
Oliver Twist,PG-13,"Drama, Kids , Family",09-30-05,01-24-06,130,Fresh,60,141,63,23278
The Alamo,NR,"Action , Adventure, Classics, Drama, Western",10-24-60,05-12-00,161,Rotten,50,20,63,7323
G,R,"Drama, Romance",09-16-05,03-28-06,96,Rotten,24,29,60,1140
Alexander the Great,G,Classics,03-28-56,10-19-04,135,Rotten,0,8,42,5382
Alfie,PG,"Classics, Comedy, Drama, Romance",08-24-66,02-27-01,113,Fresh,96,26,77,14657
Neverwas,PG-13,"Drama, Mystery , Suspense",09-09-05,03-07-07,102,Rotten,14,7,65,4058
The Second Chance,PG-13,"Drama, Faith , Spirituality",02-17-06,07-18-06,102,Rotten,40,15,78,79542
Moonlight,R,"Drama, Mystery , Suspense",10-17-03,03-04-07,91,Fresh,60,10,67,1430
Aliens,R,"Action , Adventure, Horror, Science Fiction , Fantasy",07-18-86,01-06-99,138,Certified Fresh,99,72,94,429158
Rise: Blood Hunter,R,"Horror, Mystery , Suspense",01-06-07,09-10-07,98,Rotten,36,14,20,8237
All About Eve,PG,"Classics, Drama",01-01-50,05-10-99,138,Certified Fresh,100,67,94,45151
When Do We Eat?,R,Comedy,07-04-06,08-22-06,86,Rotten,42,38,68,1121
The Mostly Unfabulous Social Life of Ethan Green,R,"Comedy, Drama",06-16-06,10-10-06,88,Rotten,27,26,58,2392
