movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count,on_streaming_year,in_theaters_year
Percy Jackson & the Olympians: The Lightning Thief,PG,Action & Adventure,2010-12-02,2010-06-29,83.0,Rotten,49.0,144.0,53.0,254287.0,2010,2010.0
Percy Jackson & the Olympians: The Lightning Thief,PG,Comedy,2010-12-02,2010-06-29,83.0,Rotten,49.0,144.0,53.0,254287.0,2010,2010.0
Percy Jackson & the Olympians: The Lightning Thief,PG,Drama,2010-12-02,2010-06-29,83.0,Rotten,49.0,144.0,53.0,254287.0,2010,2010.0
Percy Jackson & the Olympians: The Lightning Thief,PG,Science Fiction & Fantasy,2010-12-02,2010-06-29,83.0,Rotten,49.0,144.0,53.0,254287.0,2010,2010.0
Please Give,R,Comedy,2010-04-30,2010-10-19,90.0,Certified Fresh,86.0,140.0,64.0,11567.0,2010,2010.0
10,R,Comedy,1979-05-10,1997-08-27,118.0,Fresh,68.0,22.0,53.0,14670.0,1997,1979.0
10,R,Romance,1979-05-10,1997-08-27,118.0,Fresh,68.0,22.0,53.0,14670.0,1997,1979.0
12 Angry Men (Twelve Angry Men),NR,Classics,1957-04-13,2001-06-03,95.0,Certified Fresh,100.0,51.0,97.0,105000.0,2001,1957.0
12 Angry Men (Twelve Angry Men),NR,Drama,1957-04-13,2001-06-03,95.0,Certified Fresh,100.0,51.0,97.0,105000.0,2001,1957.0
"20,000 Leagues Under The Sea",G,Action & Adventure,1954-01-01,2003-05-20,127.0,Fresh,89.0,27.0,74.0,68860.0,2003,1954.0
"20,000 Leagues Under The Sea",G,Drama,1954-01-01,2003-05-20,127.0,Fresh,89.0,27.0,74.0,68860.0,2003,1954.0
"20,000 Leagues Under The Sea",G,Kids & Family,1954-01-01,2003-05-20,127.0,Fresh,89.0,27.0,74.0,68860.0,2003,1954.0
"10,000 B.C.",PG-13,Action & Adventure,2008-07-03,2008-06-24,109.0,Rotten,8.0,148.0,37.0,411087.0,2008,2008.0
"10,000 B.C.",PG-13,Classics,2008-07-03,2008-06-24,109.0,Rotten,8.0,148.0,37.0,411087.0,2008,2008.0
"10,000 B.C.",PG-13,Drama,2008-07-03,2008-06-24,109.0,Rotten,8.0,148.0,37.0,411087.0,2008,2008.0
The 39 Steps,NR,Action & Adventure,1935-01-08,1935-06-06,87.0,Certified Fresh,96.0,47.0,86.0,23827.0,2017,1935.0
The 39 Steps,NR,Classics,1935-01-08,1935-06-06,87.0,Certified Fresh,96.0,47.0,86.0,23827.0,2017,1935.0
The 39 Steps,NR,Mystery & Suspense,1935-01-08,1935-06-06,87.0,Certified Fresh,96.0,47.0,86.0,23827.0,2017,1935.0
3:10 to Yuma,NR,Classics,1957-07-08,2002-02-04,92.0,Fresh,96.0,27.0,78.0,9224.0,2002,1957.0
3:10 to Yuma,NR,Drama,1957-07-08,2002-02-04,92.0,Fresh,96.0,27.0,78.0,9224.0,2002,1957.0
3:10 to Yuma,NR,Western,1957-07-08,2002-02-04,92.0,Fresh,96.0,27.0,78.0,9224.0,2002,1957.0
Charly (A Heartbeat Away),PG,Comedy,2002-09-27,2003-01-08,103.0,Rotten,20.0,10.0,87.0,4819.0,2003,2002.0
Charly (A Heartbeat Away),PG,Drama,2002-09-27,2003-01-08,103.0,Rotten,20.0,10.0,87.0,4819.0,2003,2002.0
Charly (A Heartbeat Away),PG,Romance,2002-09-27,2003-01-08,103.0,Rotten,20.0,10.0,87.0,4819.0,2003,2002.0
Abraham Lincoln,NR,Classics,1930-08-11,2008-11-18,97.0,Fresh,90.0,10.0,38.0,455.0,2008,1930.0
Abraham Lincoln,NR,Drama,1930-08-11,2008-11-18,97.0,Fresh,90.0,10.0,38.0,455.0,2008,1930.0
Dark Water,PG-13,Art House & International,2002-01-19,2005-06-21,100.0,Fresh,80.0,15.0,66.0,21459.0,2005,2002.0
Dark Water,PG-13,Horror,2002-01-19,2005-06-21,100.0,Fresh,80.0,15.0,66.0,21459.0,2005,2002.0
Dark Water,PG-13,Mystery & Suspense,2002-01-19,2005-06-21,100.0,Fresh,80.0,15.0,66.0,21459.0,2005,2002.0
The Accused,R,Drama,1988-10-14,2002-04-16,110.0,Fresh,91.0,22.0,79.0,20796.0,2002,1988.0
The Accused,R,Mystery & Suspense,1988-10-14,2002-04-16,110.0,Fresh,91.0,22.0,79.0,20796.0,2002,1988.0
The Lost City,R,Drama,2005-03-09,2006-08-08,143.0,Rotten,25.0,83.0,64.0,25940.0,2006,2005.0
The Breaking Point,NR,Drama,1950-06-10,2017-08-08,97.0,Fresh,100.0,7.0,84.0,328.0,2017,1950.0
Adam's Rib,NR,Classics,1949-11-18,2000-09-19,100.0,Fresh,100.0,27.0,86.0,10545.0,2000,1949.0
Adam's Rib,NR,Comedy,1949-11-18,2000-09-19,100.0,Fresh,100.0,27.0,86.0,10545.0,2000,1949.0
Adam's Rib,NR,Romance,1949-11-18,2000-09-19,100.0,Fresh,100.0,27.0,86.0,10545.0,2000,1949.0
The Bridge of San Luis Rey,PG,Art House & International,2005-10-06,2005-11-10,120.0,Rotten,4.0,24.0,35.0,1931.0,2005,2005.0
The Bridge of San Luis Rey,PG,Drama,2005-10-06,2005-11-10,120.0,Rotten,4.0,24.0,35.0,1931.0,2005,2005.0
The Bridge of San Luis Rey,PG,Faith & Spirituality,2005-10-06,2005-11-10,120.0,Rotten,4.0,24.0,35.0,1931.0,2005,2005.0
The Prowler (Cost of Living ),PG,Drama,1951-03-12,2011-01-02,92.0,Fresh,100.0,17.0,86.0,284.0,2011,1951.0
The Prowler (Cost of Living ),PG,Mystery & Suspense,1951-03-12,2011-01-02,92.0,Fresh,100.0,17.0,86.0,284.0,2011,1951.0
Criminal,R,Drama,2004-09-24,2005-12-04,88.0,Fresh,69.0,124.0,57.0,6702.0,2005,2004.0
Criminal,R,Mystery & Suspense,2004-09-24,2005-12-04,88.0,Fresh,69.0,124.0,57.0,6702.0,2005,2004.0
The Adventures of Mark Twain,G,Action & Adventure,1985-01-03,2006-01-31,86.0,Fresh,80.0,5.0,82.0,1042.0,2006,1985.0
The Adventures of Mark Twain,G,Animation,1985-01-03,2006-01-31,86.0,Fresh,80.0,5.0,82.0,1042.0,2006,1985.0
The Adventures of Mark Twain,G,Kids & Family,1985-01-03,2006-01-31,86.0,Fresh,80.0,5.0,82.0,1042.0,2006,1985.0
Deep Blue,G,Documentary,2005-06-17,2006-11-04,90.0,Fresh,67.0,52.0,80.0,4690.0,2006,2005.0
Deep Blue,G,Special Interest,2005-06-17,2006-11-04,90.0,Fresh,67.0,52.0,80.0,4690.0,2006,2005.0
The Adventures of Robin Hood,PG,Action & Adventure,1938-05-14,2003-09-30,102.0,Certified Fresh,100.0,46.0,89.0,33890.0,2003,1938.0
The Adventures of Robin Hood,PG,Classics,1938-05-14,2003-09-30,102.0,Certified Fresh,100.0,46.0,89.0,33890.0,2003,1938.0
The Adventures of Robin Hood,PG,Romance,1938-05-14,2003-09-30,102.0,Certified Fresh,100.0,46.0,89.0,33890.0,2003,1938.0
Man Hunt,NR,Classics,1941-01-01,2009-05-19,105.0,Fresh,92.0,12.0,75.0,552.0,2009,1941.0
Man Hunt,NR,Drama,1941-01-01,2009-05-19,105.0,Fresh,92.0,12.0,75.0,552.0,2009,1941.0
Man Hunt,NR,Mystery & Suspense,1941-01-01,2009-05-19,105.0,Fresh,92.0,12.0,75.0,552.0,2009,1941.0
Dead End,R,Comedy,2003-09-26,2004-11-19,85.0,Fresh,75.0,8.0,60.0,10351.0,2004,2003.0
Dead End,R,Horror,2003-09-26,2004-11-19,85.0,Fresh,75.0,8.0,60.0,10351.0,2004,2003.0
Dead End,R,Mystery & Suspense,2003-09-26,2004-11-19,85.0,Fresh,75.0,8.0,60.0,10351.0,2004,2003.0
Bandwagon,R,Comedy,1997-12-09,1999-02-16,103.0,Fresh,80.0,5.0,91.0,386.0,1999,1997.0
Whore,R,Art House & International,2004-04-16,2005-08-02,87.0,Rotten,0.0,6.0,63.0,914.0,2005,2004.0
Whore,R,Drama,2004-04-16,2005-08-02,87.0,Rotten,0.0,6.0,63.0,914.0,2005,2004.0
Tristan & Isolde,PG-13,Drama,2006-01-13,2006-04-25,99.0,Rotten,31.0,121.0,71.0,220945.0,2006,2006.0
Tristan & Isolde,PG-13,Science Fiction & Fantasy,2006-01-13,2006-04-25,99.0,Rotten,31.0,121.0,71.0,220945.0,2006,2006.0
Tristan & Isolde,PG-13,Romance,2006-01-13,2006-04-25,99.0,Rotten,31.0,121.0,71.0,220945.0,2006,2006.0
Wild Side,NR,Art House & International,2005-10-06,2005-10-25,94.0,Fresh,63.0,16.0,80.0,867.0,2005,2005.0
Wild Side,NR,Drama,2005-10-06,2005-10-25,94.0,Fresh,63.0,16.0,80.0,867.0,2005,2005.0
Running Scared,R,Action & Adventure,2006-02-24,2006-06-06,119.0,Rotten,41.0,130.0,79.0,135373.0,2006,2006.0
Running Scared,R,Drama,2006-02-24,2006-06-06,119.0,Rotten,41.0,130.0,79.0,135373.0,2006,2006.0
Running Scared,R,Mystery & Suspense,2006-02-24,2006-06-06,119.0,Rotten,41.0,130.0,79.0,135373.0,2006,2006.0
Going the Distance,R,Comedy,2004-08-20,2005-05-07,93.0,Rotten,0.0,5.0,61.0,13032.0,2005,2004.0
Ultraviolet,PG-13,Action & Adventure,2006-03-03,2006-06-27,88.0,Rotten,8.0,83.0,30.0,279966.0,2006,2006.0
Ultraviolet,PG-13,Drama,2006-03-03,2006-06-27,88.0,Rotten,8.0,83.0,30.0,279966.0,2006,2006.0
Ultraviolet,PG-13,Horror,2006-03-03,2006-06-27,88.0,Rotten,8.0,83.0,30.0,279966.0,2006,2006.0
Ultraviolet,PG-13,Science Fiction & Fantasy,2006-03-03,2006-06-27,88.0,Rotten,8.0,83.0,30.0,279966.0,2006,2006.0
Home of the Brave,R,Action & Adventure,2004-11-05,2007-10-23,74.0,Fresh,93.0,15.0,48.0,866.0,2007,2004.0
Home of the Brave,R,Documentary,2004-11-05,2007-10-23,74.0,Fresh,93.0,15.0,48.0,866.0,2007,2004.0
Home of the Brave,R,Drama,2004-11-05,2007-10-23,74.0,Fresh,93.0,15.0,48.0,866.0,2007,2004.0
Home of the Brave,R,Special Interest,2004-11-05,2007-10-23,74.0,Fresh,93.0,15.0,48.0,866.0,2007,2004.0
Arthur and the Invisibles (Arthur and the Minimoys),PG,Animation,2007-12-01,2007-05-15,94.0,Rotten,22.0,91.0,56.0,134466.0,2007,2007.0
Arthur and the Invisibles (Arthur and the Minimoys),PG,Kids & Family,2007-12-01,2007-05-15,94.0,Rotten,22.0,91.0,56.0,134466.0,2007,2007.0
Arthur and the Invisibles (Arthur and the Minimoys),PG,Science Fiction & Fantasy,2007-12-01,2007-05-15,94.0,Rotten,22.0,91.0,56.0,134466.0,2007,2007.0
Malevolence,R,Horror,2004-10-09,2005-04-19,85.0,Rotten,33.0,18.0,83.0,2619.0,2005,2004.0
Eternal,R,Horror,2004-08-26,2005-10-18,107.0,Rotten,21.0,34.0,40.0,1294.0,2005,2004.0
Eternal,R,Mystery & Suspense,2004-08-26,2005-10-18,107.0,Rotten,21.0,34.0,40.0,1294.0,2005,2004.0
A Farewell To Arms,NR,Classics,1957-12-14,2005-03-29,152.0,Rotten,0.0,11.0,36.0,1458.0,2005,1957.0
A Farewell To Arms,NR,Drama,1957-12-14,2005-03-29,152.0,Rotten,0.0,11.0,36.0,1458.0,2005,1957.0
A Farewell To Arms,NR,Romance,1957-12-14,2005-03-29,152.0,Rotten,0.0,11.0,36.0,1458.0,2005,1957.0
The Narrow Margin,NR,Classics,1952-04-05,2005-05-07,71.0,Fresh,100.0,10.0,88.0,1129.0,2005,1952.0
The Narrow Margin,NR,Drama,1952-04-05,2005-05-07,71.0,Fresh,100.0,10.0,88.0,1129.0,2005,1952.0
The Narrow Margin,NR,Mystery & Suspense,1952-04-05,2005-05-07,71.0,Fresh,100.0,10.0,88.0,1129.0,2005,1952.0
The Matador,R,Action & Adventure,2006-01-27,2006-04-07,97.0,Certified Fresh,75.0,154.0,65.0,73691.0,2006,2006.0
The Matador,R,Comedy,2006-01-27,2006-04-07,97.0,Certified Fresh,75.0,154.0,65.0,73691.0,2006,2006.0
The Matador,R,Drama,2006-01-27,2006-04-07,97.0,Certified Fresh,75.0,154.0,65.0,73691.0,2006,2006.0
The Matador,R,Mystery & Suspense,2006-01-27,2006-04-07,97.0,Certified Fresh,75.0,154.0,65.0,73691.0,2006,2006.0
Smile,PG-13,Art House & International,2005-08-04,2005-06-09,107.0,Rotten,15.0,13.0,66.0,2059.0,2005,2005.0
Smile,PG-13,Comedy,2005-08-04,2005-06-09,107.0,Rotten,15.0,13.0,66.0,2059.0,2005,2005.0
Smile,PG-13,Drama,2005-08-04,2005-06-09,107.0,Rotten,15.0,13.0,66.0,2059.0,2005,2005.0
The Intruder (L'Intrus),G,Art House & International,2005-12-23,2006-04-25,129.0,Fresh,86.0,29.0,73.0,9701.0,2006,2005.0
The Intruder (L'Intrus),G,Drama,2005-12-23,2006-04-25,129.0,Fresh,86.0,29.0,73.0,9701.0,2006,2005.0
Saint Ralph,PG-13,Comedy,2005-05-08,2005-12-13,98.0,Fresh,64.0,69.0,85.0,6202.0,2005,2005.0
Saint Ralph,PG-13,Drama,2005-05-08,2005-12-13,98.0,Fresh,64.0,69.0,85.0,6202.0,2005,2005.0
The Baxter,PG-13,Comedy,2005-08-26,2005-12-13,91.0,Rotten,32.0,75.0,75.0,7434.0,2005,2005.0
The Baxter,PG-13,Romance,2005-08-26,2005-12-13,91.0,Rotten,32.0,75.0,75.0,7434.0,2005,2005.0
Oliver Twist,PG-13,Drama,2005-09-30,2006-01-24,130.0,Fresh,60.0,141.0,63.0,23278.0,2006,2005.0
Oliver Twist,PG-13,Kids & Family,2005-09-30,2006-01-24,130.0,Fresh,60.0,141.0,63.0,23278.0,2006,2005.0
The Alamo,NR,Action & Adventure,1960-10-24,2000-05-12,161.0,Rotten,50.0,20.0,63.0,7323.0,2000,1960.0
The Alamo,NR,Classics,1960-10-24,2000-05-12,161.0,Rotten,50.0,20.0,63.0,7323.0,2000,1960.0
The Alamo,NR,Drama,1960-10-24,2000-05-12,161.0,Rotten,50.0,20.0,63.0,7323.0,2000,1960.0
The Alamo,NR,Western,1960-10-24,2000-05-12,161.0,Rotten,50.0,20.0,63.0,7323.0,2000,1960.0
